feature_id	repo	category	environment	signal_type	signal_locator	current_kpi	proposed_kpi_name	proposed_kpi_threshold	proposed_kpi_window	status	notes
F-CAP-016	capricast	user-facing	prod	http	apps/worker/src/index.ts:452	none	Dashboard Video Analytics Load	<5s	rolling 7d	LIVE_NO_KPI	10 concurrent Stream API calls
F-CAP-017	capricast	user-facing	prod	http	apps/worker/src/index.ts:508	none	Creator Growth Dashboard	<3s	rolling 7d	LIVE_NO_KPI	clips + CTAs + growth_events
F-CAP-018	capricast	monitoring	prod	metric	apps/worker/src/lib/governance.ts	sentry	Async Operation Failure Rate	<1%	rolling 5m	LIVE_WITH_KPI	/admin/async-failures; replay mechanism
F-CAP-019	capricast	monitoring	prod	metric	apps/worker/src/routes/admin.ts:181	none	Admin Audit Log Coverage	100%	continuous	LIVE_WITH_KPI	adminAuditLogs table
F-CAP-020	capricast	user-facing	prod	http	apps/worker/src/routes/seo.ts:21	none	robots.txt Availability	always	uptime	LIVE_WITH_KPI	/robots.txt
F-CAP-021	capricast	user-facing	prod	http	apps/worker/src/routes/seo.ts:50	none	Sitemap XML Coverage	>=99%	rolling 7d	LIVE_WITH_KPI	GET /sitemap.xml; 10k limit
F-CAP-022	capricast	data	prod	http	apps/worker/src/routes/seo.ts	none	JSON-LD Schema Validity	100%	per video	LIVE_WITH_KPI	VideoObject with transcript + interactionStatistic
F-CAP-023	capricast	monitoring	prod	webhook	apps/worker/src/routes/webhooks.ts	none	Webhook Idempotency	no dupes	rolling 7d	LIVE_WITH_KPI	Stripe + Stream webhooks; idempotency_key
F-CAP-024	capricast	monitoring	prod	cron	apps/worker/src/index.ts:779	cron	Async Failure Check Cron	*/5min	per run	LIVE_WITH_KPI	checkAsyncFailureRates + trending refresh
F-CAP-025	capricast	monitoring	prod	cron	apps/worker/src/index.ts:773	cron	Creator Re-engagement	Mon 09:00 UTC	weekly	LIVE_WITH_KPI	Inactive-30d email
F-CAP-026	capricast	monitoring	prod	cron	apps/worker/src/index.ts:789	cron	Trial Expiry Notifications	daily 10:00 UTC	daily	LIVE_WITH_KPI	handleScheduled
F-CAP-027	capricast	user-facing	prod	http	apps/worker/src/routes/channels.ts	none	Creator Channel Pages	page p95	rolling 7d	LIVE_NO_KPI	GET /api/channels/:username
F-CAP-028	capricast	user-facing	prod	http	apps/worker/src/routes/search.ts	none	Video Search Latency	<500ms	rolling 7d	LIVE_NO_KPI	Full-text videos+channels
F-CAP-029	capricast	data	prod	db_column	packages/db/src/schema/interactions.ts:24	none	Chat Message Count	informational	rolling 7d	NOT_INSTRUMENTED	chat_messages + polls + poll_votes
F-CAP-030	capricast	integration	prod	http	apps/worker/src/routes/auth.ts	none	Auth Success Rate	>=99.5%	rolling 7d	LIVE_NO_KPI	BetterAuth; no explicit error tracking
F-CAP-031	capricast	data	prod	http	apps/worker/src/routes/stripe.ts	none	Subscription Webhook Processing	100% ack	rolling 7d	LIVE_WITH_KPI	HMAC validation
F-CAP-032	capricast	data	prod	db_column	packages/db/src/schema/subscriptions.ts	none	Active Subscriber Count	informational	rolling 7d	LIVE_WITH_KPI	subscriptions.status enum
F-CAP-033	capricast	data	prod	db_column	packages/db/src/schema/earnings.ts	none	Creator Earnings Recorded	informational	rolling 30d	LIVE_WITH_KPI	type + status enums
F-CAP-034	capricast	user-facing	prod	http	apps/worker/src/routes/notifications.ts	none	Notification Delivery Rate	>=95%	rolling 7d	LIVE_NO_KPI	CORS failure observed in user console
F-CAP-035	capricast	monitoring	prod	websocket	apps/worker/src/index.ts:297	none	Video Room WebSocket Uptime	>=99.9%	rolling 7d	LIVE_NO_KPI	DO VideoRoom; live chat + presence
F-CAP-036	capricast	data	prod	db_column	packages/db/src/schema/growth.ts:88	none	Growth Event Tracking	100% logged	rolling 7d	LIVE_WITH_KPI	clip_click + cta_* + watch_checkpoint
F-CAP-037	capricast	data	prod	db_column	packages/db/src/schema/videos.ts:70	none	Video Metadata Completeness	100% title+desc	per upload	LIVE_NO_KPI	transcript optional via sync-captions
F-CAP-038	capricast	user-facing	prod	http	apps/worker/src/routes/moderation.ts	none	Content Moderation Latency	<24h	rolling 7d	LIVE_NO_KPI	Unresolved + resolved statuses
F-CAP-039	capricast	user-facing	prod	http	apps/worker/src/routes/ads.ts	none	Ad Impression Tracking	>=99%	rolling 7d	LIVE_NO_KPI	POST /api/ads/impression; earnings recorded
F-CAP-040	capricast	integration	prod	http	apps/worker/src/routes/stripe.ts	none	Payout Reconciliation	monthly accurate	monthly	LIVE_WITH_KPI	payout_runs table; currency + tax
F-CAP-041	capricast	data	prod	http	apps/worker/src/routes/payouts.ts	none	Payout Time-to-Creator	<=3 business days	rolling 30d	LIVE_NO_KPI	stripe_payout_id linkage
F-CAP-042	capricast	user-facing	prod	http	apps/worker/src/routes/experiments.ts	none	A/B Test Assignment Rate	100% coverage	rolling 7d	LIVE_NO_KPI	GET /api/experiments/:id (placeholder)
F-CAP-043	capricast	user-facing	prod	http	apps/web/src/components/EntitlementsContext.tsx	posthog.identify	User Entitlement Sync	100% on login	per session	LIVE_WITH_KPI	PostHog identify; resets on logout
F-CAP-044	capricast	user-facing	prod	http	apps/web/src/components/SignUpForm.tsx	posthog sign_up_completed	Sign-up Conversion	informational	rolling 7d	LIVE_WITH_KPI	No backend duplicate tracking
F-CAP-045	capricast	user-facing	prod	http	apps/web/src/components/SubscribeButton.tsx	posthog subscription_cta_clicked	Subscription CTA CTR	informational	rolling 7d	LIVE_NO_KPI	No impression metric linked
F-CAP-046	capricast	monitoring	prod	metric	apps/worker/src/index.ts:155	none	Health Check Endpoint	<100ms	rolling 7d	LIVE_WITH_KPI	GET /health
F-CAP-047	capricast	data	prod	db_column	packages/db/src/schema/users.ts	none	Creator Verification	informational	rolling 30d	LIVE_WITH_KPI	blerdartVerified flag
F-CAP-048	capricast	integration	prod	http	apps/worker/src/routes/admin.ts:64	none	Creator Verification Audit	100% logged	continuous	LIVE_WITH_KPI	verify_creator action logged
F-CAP-049	capricast	user-facing	prod	http	apps/worker/src/routes/feed.ts	none	Feed Cold-Start Handling	100% success	rolling 7d	LIVE_NO_KPI	Falls back to trending + diversity
F-CAP-050	capricast	integration	prod	http	apps/worker/src/routes/videos.ts:14	none	Video Publish Queue	informational	rolling 7d	NOT_INSTRUMENTED	POST /videos queues to EMBEDDING_QUEUE; 202
F-COH-001	coh	user-facing	prod	http	src/routes/booking.ts:13	none	Booking Slot Availability	<200ms p95	rolling 24h	LIVE_NO_KPI	GET /api/booking/slots
F-COH-002	coh	user-facing	prod	http	src/routes/booking.ts:30	none	Appointment Conversion Rate	>8%	daily	LIVE_NO_KPI	POST /api/booking/book; deposit_paid
F-COH-003	coh	user-facing	prod	http	src/routes/store.ts	none	Product Page Load	<300ms p95	rolling 24h	LIVE_NO_KPI	12 HTTP handlers
F-COH-004	coh	user-facing	prod	db_column	orders.total	none	Store Revenue	informational	daily	LIVE_NO_KPI	Stripe PI via webhooks.ts:60
F-COH-005	coh	user-facing	prod	http	src/routes/academy.ts	none	Course Enrollment Rate	>5% of page views	daily	LIVE_NO_KPI	POST /api/academy/enroll
F-COH-006	coh	user-facing	prod	db_column	enrollments.progress_percent	none	Lesson Completion Rate	>60%	per-enrollment	LIVE_NO_KPI	lesson_progress.completed
F-COH-007	coh	user-facing	prod	http	src/routes/events.ts	none	Event Registration Rate	>10%	daily	LIVE_NO_KPI	POST /api/events/register
F-COH-008	coh	user-facing	prod	http	src/routes/subscriptions.ts:33	none	Membership Subscription Conversion	>3%	daily	LIVE_NO_KPI	POST /api/subscriptions/subscribe
F-COH-009	coh	user-facing	prod	http	src/routes/show.ts:79	none	Podcast Episode Engagement	>40% completion	per-episode	LIVE_NO_KPI	POST /:slug/view increments
F-COH-010	coh	user-facing	prod	db_column	lessons.audio_narration_url	none	Audio Narration Coverage	>80%	static	LIVE_NO_KPI	ElevenLabs TTS
F-COH-011	coh	user-facing	prod	http	src/routes/auth.ts	none	Auth Success Rate	>95%	rolling 24h	LIVE_NO_KPI	18 handlers; JWT validation
F-COH-012	coh	integration	prod	webhook	src/routes/webhooks.ts:34	none	Stripe Webhook Success	>99%	rolling 24h	LIVE_NO_KPI	POST /api/webhooks/stripe; idempotency via KV
F-COH-013	coh	integration	prod	webhook	src/routes/webhooks.ts:60	none	Order Payment Completion	100% for paid	per-order	LIVE_NO_KPI	checkout.session.completed
F-COH-014	coh	integration	prod	webhook	src/routes/webhooks.ts:154	none	Subscription State Sync	100% for active	per-subscription	LIVE_NO_KPI	customer.subscription.updated
F-COH-015	coh	integration	prod	http	src/routes/communications.ts	none	Appointment Reminder Delivery	>90% SMS sent	rolling 24h	LIVE_NO_KPI	Telnyx SMS
F-COH-016	coh	integration	prod	cron	src/index.ts:192	none	Cron Execution Success	100%	rolling 24h	LIVE_NO_KPI	0 * * * * hourly
F-COH-017	coh	integration	prod	event	src/db/schema.ts:416	none	User Activity Log Completeness	>95%	per-action	LIVE_NO_KPI	activity_log cross-stream
F-COH-018	coh	data	prod	db_column	users.stripe_customer_id	none	Stripe Customer Coverage	100% paying	static	LIVE_NO_KPI	Unified across streams
F-COH-019	coh	data	prod	db_column	users.membership_tier	none	Membership Tier Distribution	informational	weekly	LIVE_NO_KPI	free/vip/inner_circle
F-COH-020	coh	data	prod	db_column	users.phone	none	Phone Opt-In Coverage	>70%	rolling 24h	LIVE_NO_KPI	smsOptIn voiceOptIn
F-COH-021	coh	integration	prod	http	src/routes/admin-audio.ts	none	Audio Narration Cost	tracked monthly	monthly	LIVE_NO_KPI	ElevenLabs; 8 endpoints
F-COH-022	coh	integration	prod	http	src/routes/admin-booking.ts	none	Appointment No-Show Rate	<15%	daily	LIVE_NO_KPI	status.no_show tracking
F-COH-023	coh	monitoring	prod	http	src/index.ts:83	none	Health Check Latency	<100ms p99	rolling 5m	LIVE_WITH_KPI	GET /health DB-backed
F-COH-024	coh	monitoring	prod	sentry	src/middleware/errors.ts	none	Error Rate	<0.5%	rolling 24h	LIVE_NO_KPI	@latimer-woods-tech/monitoring
F-COH-025	coh	monitoring	prod	sentry	src/index.ts:197	none	Unhandled Exception Capture	100%	real-time	LIVE_NO_KPI	withSentry per-request
F-COH-026	coh	monitoring	prod	http	src/routes/admin-db.ts	none	Database Query Latency	<500ms p95	rolling 24h	LIVE_NO_KPI	5 admin debug endpoints
F-COH-027	coh	infra	prod	metric	wrangler.jsonc:1	none	Worker Deployment Frequency	>1/week	weekly	LIVE_NO_KPI	cypher-of-healing-api
F-COH-028	coh	infra	prod	metric	wrangler.jsonc:33	none	KV Session Store Hit Rate	>95%	rolling 24h	LIVE_NO_KPI	SESSIONS KV; idempotency
F-COH-029	coh	infra	prod	metric	wrangler.jsonc:41	none	R2 Media Bucket Requests	informational	monthly	LIVE_NO_KPI	cypher-healing-media
F-COH-030	coh	content	prod	db_column	lessons.video_url	none	Video Lesson Coverage	>70%	static	LIVE_NO_KPI	Cloudflare Stream URLs
F-COH-031	coh	content	prod	db_column	episodes.stream_video_uid	none	Podcast Availability	>90%	static	LIVE_NO_KPI	Stream + membership-gated
F-COH-032	coh	user-facing	prod	http	src/routes/admin-course.ts	none	Course Management Operations	<2s	per-op	LIVE_NO_KPI	26 admin endpoints
F-COH-033	coh	user-facing	prod	http	src/routes/admin-events.ts	none	Event Admin Performance	<1s	per-op	LIVE_NO_KPI	11 admin endpoints
F-COH-034	coh	user-facing	prod	http	src/routes/admin-store.ts	none	Product Admin Responsiveness	<500ms	per-op	LIVE_NO_KPI	12 endpoints; inventory + pricing
F-COH-035	coh	integration	prod	http	src/routes/communications.ts	none	Video Room Creation	100% success	per-room	LIVE_NO_KPI	Telnyx RTC createRTCRoom
F-COH-036	coh	data	prod	db_column	appointments.deposits_paid	none	Deposit Collection Rate	>90% confirmed	per-appt	LIVE_NO_KPI	Boolean via Stripe PI
F-COH-037	coh	data	prod	db_column	orders.source_appointment_id	none	Cross-Stream Appt→Store	>15%	daily	LIVE_NO_KPI	FK tracking
F-COH-038	coh	data	prod	db_column	enrollments.source_event_id	none	Cross-Stream Event→Academy	>10%	daily	LIVE_NO_KPI	Event-driven course enrollment
F-COH-039	coh	monitoring	prod	http	src/routes/seo.ts	none	SEO Endpoint Latency	<500ms p95	rolling 24h	LIVE_NO_KPI	sitemap.xml + robots.txt
F-COH-040	coh	user-facing	dev	http	src/routes/admin-seed.ts	none	Data Seeding Availability	dev/staging only	N/A	LIVE_NO_KPI	2 endpoints
F-COH-041	coh	data	prod	db_column	coupons.code	none	Coupon Redemption Rate	>8%	daily	LIVE_NO_KPI	appliesToStream logic
F-COH-042	coh	integration	prod	event	src/routes/webhooks.ts:200	none	Event Webhook Liveness	100% for registered	per-event	LIVE_NO_KPI	event.registration.created
F-COH-043	coh	monitoring	prod	metric	.github/workflows/deploy.yml:92	none	Deployment Health Check Success	100%	per-deploy	LIVE_WITH_KPI	3-point: root + DB + auth negative
F-COH-044	coh	integration	prod	http	src/routes/webhooks.ts	none	Webhook Processing Latency	<1s p95	rolling 24h	LIVE_NO_KPI	Stripe 4 event types
F-COH-045	coh	content	prod	db_column	episodes.audio_url	none	Podcast Audio Fallback	100% for published	static	LIVE_NO_KPI	R2 backup; membershipGated
F-XC-001	xico-city	monitoring	prod	http	src/routes/health.ts	none	Worker Health Availability	100%	rolling 5m	LIVE_NO_KPI	GET /health; worker/env/commit/uptime
F-XC-002	xico-city	monitoring	prod	sentry	src/middleware/sentry.ts	none	Error Rate (p50 gate)	<1%	5m	LIVE_NO_KPI	Sentry tagged worker/env/release/route
F-XC-003	xico-city	data	all	db_column	src/db/schema.ts	none	Tranche A Schema Completeness	10/10 tables	at merge	LIVE_NO_KPI	users/sessions/profiles/assets/jobs/listings/orders/media/lineage/transformations
F-XC-004	xico-city	integration	prod	workflow	.github/workflows/ci.yml	none	CI Gate Success Rate	100%	per-push	LIVE_NO_KPI	tsc + lint + test + coverage + registry + forbidden-apis
F-XC-005	xico-city	monitoring	prod	workflow	.github/workflows/deploy.yml	none	Post-Deploy Health Verification	100%	per-deploy	LIVE_NO_KPI	curl /health; auto-rollback on 503+
F-XC-006	xico-city	user-facing	planned	http	src/routes/auth/register.ts	none	Creator Registration Conversion	>40%	daily	NOT_INSTRUMENTED	BetterAuth; rate-limit 5/1h/IP; factory_events not wired
F-XC-007	xico-city	user-facing	planned	http	src/routes/auth/login.ts	none	Creator Login Success Rate	>85%	rolling 7d	NOT_INSTRUMENTED	BetterAuth; rate-limit 10/15m/IP
F-XC-008	xico-city	user-facing	planned	http	src/routes/auth/refresh.ts	none	Session Validity Ratio	>95%	rolling 7d	NOT_INSTRUMENTED	Cookie rotation; Neon-revocable
F-XC-009	xico-city	user-facing	prod	http	src/routes/uploads/presign.ts	none	Upload Presign Success Rate	>95%	rolling 7d	LIVE_NO_KPI	POST /v1/uploads/presign; tier-gated 25/100/500MB
F-XC-010	xico-city	user-facing	prod	http	src/routes/uploads/confirm.ts	none	Asset Created After Upload	>90%	rolling 7d	LIVE_NO_KPI	Validates R2 exists; dispatches to Cloud Run
F-XC-011	xico-city	user-facing	prod	http	src/routes/jobs/get.ts	none	Job Polling Latency	<200ms p95	rolling 5m	LIVE_NO_KPI	GET /v1/jobs/:id
F-XC-012	xico-city	user-facing	prod	http	src/routes/jobs/cut-points.ts	none	Cut-Point Review Accuracy	>85% accept	rolling 7d	NOT_INSTRUMENTED	UI saves user adjustments; confidence scores stored
F-XC-013	xico-city	user-facing	prod	http	src/routes/jobs/confirm.ts	none	Slice Render Success Rate	>95%	rolling 7d	NOT_INSTRUMENTED	Phase 2 render; target <10min p95 E2E
F-XC-014	xico-city	integration	prod	http	src/services/processor.ts	none	Processor Dispatch Success	>99%	rolling 5m	LIVE_NO_KPI	HMAC-SHA256; 202; no latency tracking
F-XC-015	xico-city	cron	prod	workflow	src/cron/watchdog.ts	none	Stuck Job Recovery Rate	>99%	rolling 5m	LIVE_WITH_KPI	Every 5min; sweeps running>30m
F-XC-016	xico-city	user-facing	planned	http	src/routes/assets/separate.ts	none	Stem Separation Completion	>90%	rolling 7d	NOT_INSTRUMENTED	Demucs PLANNED
F-XC-017	xico-city	user-facing	planned	http	src/routes/assets/vocal-process.ts	none	Vocal Processing Completion	>85%	rolling 7d	NOT_INSTRUMENTED	Pitch + breath-trim PLANNED
F-XC-018	xico-city	user-facing	planned	http	src/routes/me/vocal-profile.ts	none	Vocal Profile Adoption	>30% of vocalists	rolling 7d	NOT_INSTRUMENTED	vocal_range_profile JSONB
F-XC-019	xico-city	financial	planned	http	src/routes/me/connect.ts	none	Stripe Connect Onboarding	>70%	rolling 7d	NOT_INSTRUMENTED	Express redirect PLANNED
F-XC-020	xico-city	financial	prod	webhook	src/routes/webhooks/stripe-connect.ts	none	Connect Webhook Idempotency	100%	rolling 5m	LIVE_NO_KPI	stripe_events.event_id PK
F-XC-021	xico-city	data	planned	http	src/routes/me/notifications.ts	none	Notification Delivery Rate	>95%	rolling 7d	NOT_INSTRUMENTED	Resend transactional + in-app
F-XC-022	xico-city	user-facing	planned	http	src/routes/me/onboarding.ts	none	Onboarding Completion	>60%	rolling 7d	NOT_INSTRUMENTED	11 creator roles
F-XC-023	xico-city	user-facing	planned	http	src/routes/me/roles.ts	none	Role Activation Rate	>80% of completers	rolling 7d	NOT_INSTRUMENTED	users.roles JSONB
F-XC-024	xico-city	user-facing	planned	http	src/routes/listings/index.ts	none	Listing Publication Rate	>50%	rolling 7d	NOT_INSTRUMENTED	listings.status draft→published
F-XC-025	xico-city	user-facing	planned	webhook	src/routes/webhooks/stripe-checkout.ts	none	Order Completion Rate	>85%	rolling 7d	NOT_INSTRUMENTED	checkout.session.completed; licenses table missing
F-XC-026	xico-city	user-facing	planned	http	src/routes/listings/search.ts	none	Search Result Latency	<600ms p95	rolling 5m	LIVE_NO_KPI	FTS + Camelot + BPM + license filters
F-XC-027	xico-city	user-facing	planned	http	src/routes/me/download.ts	none	License Download Success	>98%	rolling 7d	NOT_INSTRUMENTED	Presigned URL relay; licenses table missing
F-XC-028	xico-city	data	planned	db_column	assetAnalyses	none	Musical Analysis Coverage	>95% of audio	rolling 7d	PLANNED	BPM/Camelot/chords/loudness/mix; Demucs not integrated
F-XC-029	xico-city	compliance	planned	cron	(not in code)	none	GDPR Deletion Compliance	100% at day 31	per-deletion	PLANNED	gdpr-erase cron; data_deletion_requests table missing
F-XC-030	xico-city	compliance	planned	http	(not in code)	none	Consent Log Completeness	100%	per-action	PLANNED	consent_logs schema present; no handlers wired
F-XC-031	xico-city	compliance	planned	http	(not in code)	none	DMCA Takedown Response	<24h SLA	per-takedown	PLANNED	dmca_takedowns table missing; 3-strike policy in spec
